id_visitante,pais_origen,edad,genero,destino,region,fecha_visita,dias_estadia,gasto_total,medio_transporte
V0713,Argentina,44,F,Chan Chan,La Libertad,2025-06-12,6,3139.05,Auto particular
V0714,Alemania,46,F,Colca,Arequipa,2025-05-22,10,4536.68,Auto particular
V0715,Alemania,77,F,Líneas de Nazca,Ica,2025-07-21,5,4497.72,NA
V0716,Brasil,78,F,Santa Apolonia,Cajamarca,2025-08-03,11,3945.3,NA
V0717,España,26,F,Colca,Arequipa,2025-12-03,10,800.58,Auto particular
V0718,Perú,68,F,Kuelap,Amazonas,2025-08-11,5,4483.02,Bus
V0719,México,63,M,Cataratas de Gocta,Amazonas,2025-12-12,8,4125.47,Bus
V0720,Francia,60,F,Kuelap,Amazonas,2025-04-12,2,3398.12,
V0721,Brasil,26,F,Chan Chan,La Libertad,2025-12-02,8,1366.99,NA
V0722,España,66,F,Líneas de Nazca,Ica,2025-03-07,12,3567.85,Bus
V0723,Brasil,62,F,Kuelap,Amazonas,2025-11-03,11,490.48,
V0724,Chile,46,M,Colca,Arequipa,2025-04-23,14,2101.26,Auto particular
V0725,México,66,M,Santa Apolonia,Cajamarca,2025-06-17,12,3735.5,Avión
V0726,EE.UU.,19,M,Chan Chan,La Libertad,2025-01-03,5,4415.88,Auto particular
V0727,México,73,M,Líneas de Nazca,Ica,2025-05-03,11,2832.73,Auto particular
V0728,Alemania,46,M,Colca,Arequipa,2025-01-21,5,4741.96,
V0729,México,64,M,Lago Titicaca,Puno,2025-09-12,3,2671.36,
V0730,Argentina,62,M,Santa Apolonia,Cajamarca,2025-08-12,12,4650.18,Bus
V0731,España,23,M,Islas Ballestas,Ica,2025-11-30,3,1402.2,NA
V0732,Chile,72,F,Santa Apolonia,Cajamarca,2025-08-16,7,1971.97,
V0733,Alemania,27,M,Cataratas de Gocta,Amazonas,2025-12-23,7,4363.94,NA
V0734,Francia,55,F,Islas Ballestas,Ica,2025-07-17,3,1325.62,Bus
V0735,México,31,F,Kuelap,Amazonas,2025-01-11,2,4842.66,Auto particular
V0736,México,45,F,Islas Ballestas,Ica,2025-08-15,10,4139.78,Avión
V0737,México,49,M,Huacachina,Ica,2025-03-04,13,4367.61,NA
V0738,Francia,65,F,Chan Chan,La Libertad,2025-10-30,3,875.74,
V0739,Brasil,42,F,Kuelap,Amazonas,2025-08-23,8,265.64,Auto particular
V0740,México,66,F,Líneas de Nazca,Ica,2025-07-14,12,2596.11,
V0741,México,42,F,Lago Titicaca,Puno,2025-11-19,13,1819.55,NA
V0742,Chile,55,F,Kuelap,Amazonas,2025-06-27,10,2580.34,Auto particular
V0743,Brasil,27,F,Lago Titicaca,Puno,2025-03-24,4,879.24,Bus
V0744,Alemania,41,F,Machu Picchu,Cusco,2025-01-03,9,2308.37,
V0745,Brasil,34,F,Santa Apolonia,Cajamarca,2025-10-27,1,2122.91,
V0746,Francia,63,M,Santa Apolonia,Cajamarca,2025-10-05,14,1599.26,Avión
V0747,México,42,F,Lago Titicaca,Puno,2025-09-23,11,2651.67,Auto particular
V0748,Francia,41,M,Islas Ballestas,Ica,2025-11-23,1,2695.57,NA
V0749,España,25,M,Islas Ballestas,Ica,2025-01-19,13,2184.55,Bus
V0750,Perú,64,M,Chan Chan,La Libertad,2025-10-06,5,4752.47,Auto particular
V0751,Colombia,78,M,Machu Picchu,Cusco,2025-12-12,1,3365.94,
V0752,España,45,M,Colca,Arequipa,2025-10-24,12,1872.77,NA
V0753,Chile,74,F,Islas Ballestas,Ica,2025-10-15,1,2013.53,Avión
V0754,Chile,38,M,Colca,Arequipa,2025-10-30,6,1256.1,Auto particular
V0755,Colombia,63,M,Santa Apolonia,Cajamarca,2025-01-01,15,1173.47,NA
V0756,España,38,F,Lago Titicaca,Puno,2025-07-15,4,2931.83,
V0757,Francia,28,F,Lago Titicaca,Puno,2025-08-16,15,3178.61,
V0758,Chile,72,M,Machu Picchu,Cusco,2025-06-21,9,1934.28,Avión
V0759,Alemania,46,F,Chan Chan,La Libertad,2025-06-05,3,3871.31,NA
V0760,Chile,24,M,Machu Picchu,Cusco,2025-04-12,6,3328.42,Avión
V0761,Alemania,42,M,Huacachina,Ica,2025-10-06,2,1562.07,Bus
V0762,Colombia,80,F,Santa Apolonia,Cajamarca,2025-10-02,5,3252.43,Avión
V0763,Alemania,20,M,Kuelap,Amazonas,2025-03-11,12,4376.88,Avión
V0764,España,50,M,Kuelap,Amazonas,2025-10-12,14,4411.21,Bus
V0765,Brasil,41,F,Líneas de Nazca,Ica,2025-08-14,13,4326.65,NA
V0766,Francia,49,M,Cataratas de Gocta,Amazonas,2025-01-08,4,892.89,Avión
V0767,Brasil,26,F,Huacachina,Ica,2025-11-20,13,2358.82,NA
V0768,EE.UU.,50,F,Lago Titicaca,Puno,2025-05-30,15,4824.05,Bus
V0769,España,24,M,Colca,Arequipa,2025-11-07,3,2818.68,Bus
V0770,México,56,F,Cataratas de Gocta,Amazonas,2025-09-04,4,3734.89,Auto particular
V0771,Colombia,69,M,Cataratas de Gocta,Amazonas,2025-12-30,15,898.44,NA
V0772,Perú,46,M,Cataratas de Gocta,Amazonas,2025-02-05,15,3034.87,NA
V0773,Colombia,28,F,Líneas de Nazca,Ica,2025-09-28,15,4559.44,Auto particular
V0774,Brasil,54,M,Machu Picchu,Cusco,2025-10-15,7,1648.58,
V0775,Alemania,55,F,Islas Ballestas,Ica,2025-09-14,4,690.97,Avión
V0776,Francia,40,M,Islas Ballestas,Ica,2025-10-25,13,4502.26,Bus
V0777,Colombia,24,F,Chan Chan,La Libertad,2025-09-19,12,1205.93,Auto particular
V0778,Colombia,52,F,Huacachina,Ica,2025-10-21,14,2366.51,Bus
V0779,Francia,35,F,Lago Titicaca,Puno,2025-11-13,12,4528.45,Auto particular
V0780,EE.UU.,55,M,Santa Apolonia,Cajamarca,2025-09-13,6,1782.12,
V0781,Brasil,60,M,Huacachina,Ica,2025-11-04,4,4325.18,NA
V0782,Argentina,78,F,Kuelap,Amazonas,2025-07-22,10,2623.95,Bus
V0783,Brasil,79,M,Kuelap,Amazonas,2025-11-27,10,2908.68,Avión
V0784,Brasil,23,M,Islas Ballestas,Ica,2025-06-19,3,2384.76,Auto particular
V0785,Brasil,26,F,Islas Ballestas,Ica,2025-09-12,4,1911.37,
V0786,EE.UU.,49,M,Machu Picchu,Cusco,2025-01-30,6,4039.0,Avión
V0787,México,33,F,Kuelap,Amazonas,2025-05-10,8,4788.17,Avión
V0788,Brasil,35,F,Machu Picchu,Cusco,2025-11-18,14,2467.31,Avión
V0789,Colombia,52,M,Huacachina,Ica,2025-09-01,14,4594.58,Auto particular
V0790,Francia,48,F,Huacachina,Ica,2025-03-02,12,2309.04,
V0791,Brasil,42,M,Colca,Arequipa,2025-09-14,11,3179.29,NA
V0792,Perú,22,F,Santa Apolonia,Cajamarca,2025-03-17,6,1253.05,Avión
V0793,Perú,66,F,Kuelap,Amazonas,2025-05-31,7,2016.96,
V0794,Alemania,51,F,Lago Titicaca,Puno,2025-05-08,10,1682.68,NA
V0795,Alemania,44,M,Chan Chan,La Libertad,2025-01-09,2,4176.81,Bus
V0796,Colombia,40,F,Kuelap,Amazonas,2025-03-15,10,456.9,Avión
V0797,Alemania,18,F,Chan Chan,La Libertad,2025-04-17,11,3758.93,Avión
V0798,EE.UU.,62,F,Cataratas de Gocta,Amazonas,2025-04-19,2,1658.76,
V0799,Colombia,80,F,Chan Chan,La Libertad,2025-03-17,8,3818.56,
V0800,Chile,60,F,Líneas de Nazca,Ica,2025-04-03,5,4089.47,Bus
V0801,Argentina,41,M,Lago Titicaca,Puno,2025-10-06,5,2489.97,Auto particular
V0802,Chile,50,F,Colca,Arequipa,2025-09-05,15,4903.28,Avión
V0803,Francia,64,F,Chan Chan,La Libertad,2025-08-18,7,3825.81,
V0804,Francia,27,F,Machu Picchu,Cusco,2025-01-21,14,298.98,Bus
V0805,Francia,26,F,Chan Chan,La Libertad,2025-03-04,9,1472.82,NA
V0806,Brasil,28,F,Líneas de Nazca,Ica,2025-12-12,5,708.13,Avión
V0807,Argentina,40,M,Machu Picchu,Cusco,2025-09-20,10,1100.88,Bus
V0808,Brasil,28,M,Islas Ballestas,Ica,2025-02-16,2,1837.96,Bus
V0809,Francia,27,M,Huacachina,Ica,2025-09-15,11,3288.56,Auto particular
V0810,España,25,M,Colca,Arequipa,2025-08-14,7,1360.17,
V0811,Argentina,57,M,Chan Chan,La Libertad,2025-03-13,6,3213.72,Avión
V0812,EE.UU.,25,M,Santa Apolonia,Cajamarca,2025-01-29,7,3183.24,Avión
V0813,Perú,41,F,Santa Apolonia,Cajamarca,2025-04-17,3,677.43,Auto particular
V0814,Francia,79,F,Machu Picchu,Cusco,2025-06-08,5,2169.38,Bus
V0815,EE.UU.,23,M,Santa Apolonia,Cajamarca,2025-07-14,9,256.95,NA
V0816,Argentina,70,F,Lago Titicaca,Puno,2025-07-09,9,233.39,
V0817,Perú,30,M,Colca,Arequipa,2025-12-29,7,3050.74,NA
V0818,Argentina,44,M,Colca,Arequipa,2025-02-07,4,4925.7,
V0819,España,71,M,Colca,Arequipa,2025-12-27,1,1402.12,Auto particular
V0820,España,59,M,Líneas de Nazca,Ica,2025-07-21,12,4510.43,
V0821,Alemania,44,F,Kuelap,Amazonas,2025-04-10,8,2404.53,Bus
V0822,Francia,61,F,Santa Apolonia,Cajamarca,2025-10-09,1,4541.33,NA
V0823,Perú,22,F,Kuelap,Amazonas,2025-08-02,1,891.17,NA
V0824,Brasil,27,M,Cataratas de Gocta,Amazonas,2025-11-05,15,1020.93,Auto particular
V0825,Francia,25,F,Kuelap,Amazonas,2025-06-29,3,203.46,
V0826,EE.UU.,64,M,Líneas de Nazca,Ica,2025-04-10,15,962.27,Bus
V0827,España,35,F,Islas Ballestas,Ica,2025-02-16,6,4361.36,Auto particular
V0828,México,77,F,Santa Apolonia,Cajamarca,2025-07-17,13,278.2,NA
V0829,Francia,76,M,Cataratas de Gocta,Amazonas,2025-03-11,3,4620.44,NA
V0830,Alemania,61,F,Chan Chan,La Libertad,2025-07-05,15,614.97,
V0831,Colombia,34,F,Islas Ballestas,Ica,2025-12-19,5,361.4,Avión
V0832,Alemania,20,F,Santa Apolonia,Cajamarca,2025-06-08,8,4901.99,
V0833,Colombia,64,M,Lago Titicaca,Puno,2025-10-13,6,2279.31,Bus
V0834,Alemania,71,M,Machu Picchu,Cusco,2025-04-17,6,1135.59,
V0835,Francia,47,M,Colca,Arequipa,2025-03-27,9,1984.03,NA
V0836,Argentina,20,M,Islas Ballestas,Ica,2025-09-07,6,1437.04,NA
V0837,Argentina,56,M,Machu Picchu,Cusco,2025-05-20,4,4070.78,Auto particular
V0838,Perú,58,F,Lago Titicaca,Puno,2025-02-15,13,599.4,NA
V0839,Brasil,78,M,Cataratas de Gocta,Amazonas,2025-09-27,13,4462.78,Avión
V0840,EE.UU.,73,M,Líneas de Nazca,Ica,2025-11-26,10,3611.61,Auto particular
V0841,Colombia,62,M,Colca,Arequipa,2025-12-22,3,2104.41,Avión
V0842,Alemania,45,M,Islas Ballestas,Ica,2025-12-11,2,1399.51,Bus
V0843,Perú,67,M,Chan Chan,La Libertad,2025-09-03,12,4686.67,
V0844,Chile,24,F,Islas Ballestas,Ica,2025-10-07,11,1363.26,Bus
V0845,Colombia,22,F,Chan Chan,La Libertad,2025-01-05,10,3109.37,Avión
V0846,EE.UU.,78,M,Islas Ballestas,Ica,2025-07-17,2,1159.82,NA
V0847,Alemania,75,F,Islas Ballestas,Ica,2025-05-02,2,3479.93,Bus
V0848,Francia,65,F,Lago Titicaca,Puno,2025-11-22,11,3534.14,Auto particular
V0849,Francia,70,M,Machu Picchu,Cusco,2025-06-06,15,2344.27,NA
V0850,México,23,F,Cataratas de Gocta,Amazonas,2025-10-31,6,3834.33,Auto particular
V0851,Chile,64,F,Chan Chan,La Libertad,2025-03-07,4,451.19,Bus
V0852,Colombia,70,F,Chan Chan,La Libertad,2025-09-29,6,4498.1,Avión
V0853,Chile,20,M,Kuelap,Amazonas,2025-08-02,12,564.33,Avión
V0854,Alemania,57,M,Líneas de Nazca,Ica,2025-08-26,14,973.35,
V0855,España,63,M,Líneas de Nazca,Ica,2025-08-18,1,3908.52,Bus
V0856,Colombia,44,F,Lago Titicaca,Puno,2025-04-04,11,2316.59,Avión
V0857,Perú,62,M,Colca,Arequipa,2025-03-12,14,854.41,Auto particular
V0858,Francia,20,M,Islas Ballestas,Ica,2025-04-07,1,3946.92,Auto particular
V0859,Argentina,28,M,Colca,Arequipa,2025-03-09,1,2989.56,NA
V0860,EE.UU.,70,F,Santa Apolonia,Cajamarca,2025-05-14,15,3688.23,Avión
V0861,Argentina,32,M,Kuelap,Amazonas,2025-04-29,1,1268.03,
V0862,Alemania,18,M,Huacachina,Ica,2025-12-09,6,4199.09,NA
V0863,Brasil,37,M,Islas Ballestas,Ica,2025-02-24,14,2834.38,Auto particular
V0864,Brasil,50,F,Huacachina,Ica,2025-03-21,4,1540.33,Auto particular
V0865,México,51,M,Huacachina,Ica,2025-05-05,15,2428.63,Bus
V0866,Chile,34,M,Huacachina,Ica,2025-11-12,4,847.16,Bus
V0867,Argentina,59,M,Líneas de Nazca,Ica,2025-03-16,4,2366.71,
V0868,Argentina,46,M,Cataratas de Gocta,Amazonas,2025-11-22,1,2531.83,NA
V0869,Perú,31,M,Chan Chan,La Libertad,2025-03-14,8,320.77,NA
V0870,Francia,72,F,Huacachina,Ica,2025-11-24,7,1188.52,
V0871,Colombia,32,M,Cataratas de Gocta,Amazonas,2025-10-10,15,2541.04,
V0872,España,65,F,Santa Apolonia,Cajamarca,2025-12-19,14,1752.71,Bus
V0873,Colombia,43,F,Colca,Arequipa,2025-06-21,14,1566.18,Bus
V0874,Perú,47,M,Islas Ballestas,Ica,2025-12-03,7,1917.02,Bus
V0875,Francia,70,M,Kuelap,Amazonas,2025-09-07,5,3784.04,NA
V0876,Argentina,65,F,Chan Chan,La Libertad,2025-06-13,3,571.68,
V0877,Perú,74,F,Líneas de Nazca,Ica,2025-06-04,9,3572.41,NA
V0878,Francia,69,M,Chan Chan,La Libertad,2025-09-21,15,4365.16,Auto particular
V0879,Francia,35,F,Islas Ballestas,Ica,2025-05-14,8,1569.83,NA
V0880,EE.UU.,53,M,Santa Apolonia,Cajamarca,2025-02-13,8,3208.64,Avión
V0881,Brasil,69,M,Kuelap,Amazonas,2025-08-27,13,2156.29,Avión
V0882,Brasil,77,M,Líneas de Nazca,Ica,2025-09-05,8,909.03,Bus
V0883,Argentina,27,M,Chan Chan,La Libertad,2025-04-10,5,4882.24,Avión
V0884,Chile,77,M,Chan Chan,La Libertad,2025-07-02,4,2413.32,Bus
V0885,Chile,59,M,Lago Titicaca,Puno,2025-05-17,10,2331.41,NA
V0886,Brasil,48,F,Santa Apolonia,Cajamarca,2025-03-02,11,363.68,Auto particular
V0887,Brasil,57,F,Kuelap,Amazonas,2025-10-19,9,3619.22,Bus
V0888,México,20,F,Islas Ballestas,Ica,2025-10-19,14,1704.46,
V0889,Perú,49,F,Machu Picchu,Cusco,2025-06-11,9,4633.38,NA
V0890,Chile,56,F,Colca,Arequipa,2025-04-06,8,3060.79,Auto particular
V0891,Perú,59,M,Kuelap,Amazonas,2025-05-04,13,4537.89,
V0892,España,64,M,Santa Apolonia,Cajamarca,2025-08-31,2,1117.61,Avión
V0893,Francia,41,F,Kuelap,Amazonas,2025-03-17,10,4685.33,NA
V0894,Colombia,37,M,Huacachina,Ica,2025-02-07,12,893.36,NA
V0895,Chile,47,M,Huacachina,Ica,2025-07-17,12,3027.04,Auto particular
V0896,España,31,M,Huacachina,Ica,2025-03-12,1,3037.42,Bus
V0897,Argentina,70,M,Huacachina,Ica,2025-06-09,2,1344.01,Bus
V0898,Perú,77,M,Cataratas de Gocta,Amazonas,2025-07-07,6,3516.34,Avión
V0899,España,77,M,Chan Chan,La Libertad,2025-04-18,12,969.81,
V0900,México,53,M,Santa Apolonia,Cajamarca,2025-05-06,4,2482.57,NA
V0901,México,24,F,Lago Titicaca,Puno,2025-11-04,13,1789.04,Auto particular
V0902,Colombia,34,F,Huacachina,Ica,2025-09-15,7,2480.39,
V0903,Brasil,32,M,Chan Chan,La Libertad,2025-10-22,8,3793.5,Avión
V0904,Alemania,45,F,Lago Titicaca,Puno,2025-02-20,10,2082.62,Avión
V0905,España,27,F,Islas Ballestas,Ica,2025-04-02,3,4882.09,Bus
V0906,Argentina,73,F,Huacachina,Ica,2025-12-02,13,1795.89,
V0907,Perú,50,F,Líneas de Nazca,Ica,2025-04-25,12,1373.89,
V0908,España,63,M,Cataratas de Gocta,Amazonas,2025-03-06,11,4318.45,NA
V0909,España,29,F,Colca,Arequipa,2025-06-06,15,4281.25,Auto particular
V0910,Francia,55,F,Chan Chan,La Libertad,2025-05-13,14,4157.45,Auto particular
V0911,EE.UU.,55,M,Chan Chan,La Libertad,2025-01-29,11,612.11,NA
V0912,Francia,70,M,Santa Apolonia,Cajamarca,2025-10-02,9,1815.43,
V0913,Colombia,63,M,Líneas de Nazca,Ica,2025-05-10,4,3774.88,Bus
V0914,Perú,79,F,Santa Apolonia,Cajamarca,2025-12-31,12,3684.4,NA
V0915,Brasil,77,F,Lago Titicaca,Puno,2025-04-11,1,872.8,
V0916,EE.UU.,47,M,Kuelap,Amazonas,2025-07-15,4,3418.06,Avión
V0917,Argentina,51,F,Lago Titicaca,Puno,2025-03-04,7,727.03,Bus
V0918,Brasil,26,F,Chan Chan,La Libertad,2025-11-02,15,3773.65,Avión
V0919,Brasil,75,M,Chan Chan,La Libertad,2025-04-09,3,1255.36,Auto particular
V0920,Perú,37,M,Machu Picchu,Cusco,2025-02-19,3,3048.55,NA
V0921,Perú,73,F,Islas Ballestas,Ica,2025-10-23,10,3224.35,Auto particular
V0922,México,73,F,Colca,Arequipa,2025-12-12,10,3181.02,
V0923,Colombia,66,F,Cataratas de Gocta,Amazonas,2025-03-22,3,1301.4,Avión
V0924,Brasil,78,F,Lago Titicaca,Puno,2025-12-07,14,1590.1,
V0925,Chile,24,F,Huacachina,Ica,2025-02-08,14,4140.92,NA
V0926,Colombia,26,F,Colca,Arequipa,2025-04-01,9,2204.56,Avión
V0927,Chile,40,F,Colca,Arequipa,2025-06-08,12,4248.28,
V0928,Alemania,48,M,Colca,Arequipa,2025-04-12,1,3464.03,
V0929,Argentina,55,F,Islas Ballestas,Ica,2025-02-20,6,3419.78,Avión
V0930,Perú,71,M,Chan Chan,La Libertad,2025-09-12,3,3305.86,Auto particular
V0931,Francia,49,F,Chan Chan,La Libertad,2025-09-12,6,4458.77,Auto particular
V0932,Chile,61,M,Machu Picchu,Cusco,2025-11-07,2,4412.34,NA
V0933,Brasil,57,F,Kuelap,Amazonas,2025-03-26,3,586.92,Auto particular
V0934,Colombia,58,M,Machu Picchu,Cusco,2025-05-11,10,4670.93,NA
V0935,EE.UU.,46,M,Chan Chan,La Libertad,2025-01-29,9,3550.26,
V0936,Brasil,46,M,Machu Picchu,Cusco,2025-04-03,7,1117.01,Auto particular
V0937,Brasil,26,M,Cataratas de Gocta,Amazonas,2025-05-05,11,654.04,Auto particular
V0938,México,67,M,Kuelap,Amazonas,2025-02-05,11,3393.12,Avión
V0939,Chile,23,F,Islas Ballestas,Ica,2025-09-08,9,754.31,
V0940,Colombia,26,M,Colca,Arequipa,2025-08-22,12,627.99,Avión
V0941,Colombia,24,M,Santa Apolonia,Cajamarca,2025-01-05,11,539.77,Auto particular
V0942,Perú,37,F,Kuelap,Amazonas,2025-10-30,2,228.73,Auto particular
V0943,Argentina,23,F,Lago Titicaca,Puno,2025-01-27,2,532.7,
V0944,Alemania,70,M,Lago Titicaca,Puno,2025-05-23,15,4323.96,Auto particular
V0945,Francia,26,M,Kuelap,Amazonas,2025-12-14,4,3181.12,Bus
V0946,EE.UU.,61,F,Colca,Arequipa,2025-01-04,12,4779.96,NA
V0947,México,26,M,Islas Ballestas,Ica,2025-12-09,11,1892.95,NA
V0948,Argentina,32,F,Chan Chan,La Libertad,2025-10-22,2,3048.69,NA
V0949,Colombia,26,M,Chan Chan,La Libertad,2025-04-17,3,3626.24,
V0950,Colombia,19,M,Lago Titicaca,Puno,2025-04-09,3,4251.54,Auto particular
V0951,México,36,F,Santa Apolonia,Cajamarca,2025-06-15,9,4549.26,Avión
V0952,EE.UU.,75,F,Islas Ballestas,Ica,2025-04-23,10,2665.12,Auto particular
V0953,Francia,74,M,Santa Apolonia,Cajamarca,2025-01-17,12,1345.21,
V0954,Chile,43,M,Lago Titicaca,Puno,2025-10-14,5,578.53,NA
V0955,Francia,42,M,Lago Titicaca,Puno,2025-02-27,9,4722.32,NA
V0956,Perú,80,M,Líneas de Nazca,Ica,2025-09-30,3,1299.61,Auto particular
V0957,Brasil,52,M,Huacachina,Ica,2025-08-08,15,4177.31,NA
V0958,Alemania,21,F,Islas Ballestas,Ica,2025-11-13,1,3562.24,Bus
V0959,Francia,53,M,Huacachina,Ica,2025-12-02,9,2082.69,Auto particular
V0960,Argentina,40,M,Santa Apolonia,Cajamarca,2025-10-09,15,1713.48,Avión
V0961,España,68,F,Santa Apolonia,Cajamarca,2025-01-15,7,2669.98,Avión
V0962,Colombia,54,M,Kuelap,Amazonas,2025-04-28,4,4011.8,Bus
V0963,Chile,65,M,Kuelap,Amazonas,2025-10-21,15,3537.04,Avión
V0964,Colombia,24,M,Colca,Arequipa,2025-01-06,11,688.77,
V0965,México,53,F,Cataratas de Gocta,Amazonas,2025-12-04,13,1147.99,NA
V0966,Chile,75,M,Colca,Arequipa,2025-07-12,15,300.12,NA
V0967,Perú,79,M,Chan Chan,La Libertad,2025-09-21,11,1348.89,Auto particular
V0968,Chile,24,M,Santa Apolonia,Cajamarca,2025-06-27,10,1996.47,Auto particular
V0969,Perú,51,M,Huacachina,Ica,2025-06-21,1,1593.56,Bus
V0970,Argentina,32,F,Huacachina,Ica,2025-08-26,3,2516.93,NA
V0971,Perú,75,M,Colca,Arequipa,2025-01-07,11,418.26,NA
V0972,Argentina,58,F,Santa Apolonia,Cajamarca,2025-12-21,8,909.56,Bus
V0973,Alemania,63,M,Colca,Arequipa,2025-06-22,7,3851.52,Auto particular
V0974,Perú,25,M,Cataratas de Gocta,Amazonas,2025-02-16,3,1081.38,NA
V0975,Francia,35,M,Chan Chan,La Libertad,2025-09-27,1,4536.89,
V0976,España,58,M,Chan Chan,La Libertad,2025-11-12,11,2611.35,Avión
V0977,Alemania,48,F,Chan Chan,La Libertad,2025-05-26,9,1987.49,
V0978,EE.UU.,41,F,Santa Apolonia,Cajamarca,2025-02-14,3,4031.83,Auto particular
V0979,Argentina,23,F,Santa Apolonia,Cajamarca,2025-10-15,6,3236.42,Avión
V0980,México,34,F,Chan Chan,La Libertad,2025-05-04,15,1998.08,
V0981,Argentina,66,F,Lago Titicaca,Puno,2025-06-12,6,4987.97,
V0982,Brasil,29,M,Huacachina,Ica,2025-03-01,9,2911.55,Avión
V0983,España,61,M,Islas Ballestas,Ica,2025-03-29,15,3593.76,NA
V0984,EE.UU.,59,M,Islas Ballestas,Ica,2025-04-22,2,1853.28,Avión
V0985,Francia,76,M,Machu Picchu,Cusco,2025-08-20,14,4371.76,Auto particular
V0986,Argentina,30,F,Islas Ballestas,Ica,2025-05-24,13,3798.32,NA
V0987,Brasil,34,M,Kuelap,Amazonas,2025-10-17,10,2564.65,
V0988,Brasil,65,M,Santa Apolonia,Cajamarca,2025-12-27,11,224.08,NA
V0989,España,66,F,Lago Titicaca,Puno,2025-12-06,3,1163.29,Avión
V0990,España,71,F,Huacachina,Ica,2025-10-19,5,1323.99,
V0991,EE.UU.,77,M,Santa Apolonia,Cajamarca,2025-08-02,3,1885.18,NA
V0992,Colombia,29,M,Huacachina,Ica,2025-06-14,10,2640.43,NA
V0993,Perú,68,M,Santa Apolonia,Cajamarca,2025-04-15,13,1158.39,Auto particular
V0994,México,48,M,Líneas de Nazca,Ica,2025-10-22,5,3114.84,Bus
V0995,Chile,58,M,Kuelap,Amazonas,2025-04-29,2,786.98,Avión
V0996,Perú,19,M,Colca,Arequipa,2025-08-11,12,4515.91,NA
V0997,Alemania,27,F,Machu Picchu,Cusco,2025-05-25,6,1959.38,
V0998,España,77,M,Machu Picchu,Cusco,2025-02-28,5,4375.04,NA
V0999,Chile,61,F,Santa Apolonia,Cajamarca,2025-05-10,14,4062.9,NA
V1000,Argentina,71,M,Kuelap,Amazonas,2025-11-05,12,3679.0,Bus
V1001,Perú,72,M,Kuelap,Amazonas,2025-09-22,9,2536.3,NA
V1002,Colombia,43,F,Chan Chan,La Libertad,2025-02-14,6,293.26,
V1003,Chile,49,F,Lago Titicaca,Puno,2025-08-22,12,4146.56,Auto particular
V1004,Colombia,50,M,Chan Chan,La Libertad,2025-08-26,15,3718.76,Bus
V1005,Francia,65,M,Islas Ballestas,Ica,2025-07-05,4,4969.54,
V1006,España,68,F,Huacachina,Ica,2025-04-22,11,2735.47,Auto particular
V1007,Chile,25,M,Santa Apolonia,Cajamarca,2025-08-23,11,1999.44,Auto particular
V1008,EE.UU.,78,F,Chan Chan,La Libertad,2025-06-21,5,2366.38,NA
V1009,Alemania,64,F,Kuelap,Amazonas,2025-10-29,11,2633.57,Bus
V1010,Chile,32,M,Colca,Arequipa,2025-08-18,5,1845.8,NA
V1011,Alemania,44,M,Chan Chan,La Libertad,2025-02-16,12,3959.3,Bus
V1012,Perú,32,F,Kuelap,Amazonas,2025-01-19,7,1480.04,
V1013,Perú,79,F,Islas Ballestas,Ica,2025-09-15,8,1832.11,NA
V1014,Colombia,76,F,Chan Chan,La Libertad,2025-10-30,11,4871.5,Bus
V1015,Francia,63,F,Lago Titicaca,Puno,2025-04-27,1,1396.71,Auto particular
V1016,EE.UU.,69,M,Chan Chan,La Libertad,2025-01-12,10,4482.7,Avión
V1017,Perú,68,M,Chan Chan,La Libertad,2025-02-11,1,4236.4,
V1018,Alemania,19,M,Huacachina,Ica,2025-01-24,8,378.3,Avión
V1019,Alemania,20,F,Colca,Arequipa,2025-08-26,14,2862.77,Avión
V1020,Perú,80,M,Santa Apolonia,Cajamarca,2025-02-05,3,1873.83,
V1021,Argentina,75,F,Líneas de Nazca,Ica,2025-02-27,9,2485.58,Auto particular
V1022,Argentina,48,F,Líneas de Nazca,Ica,2025-10-12,3,1688.43,
V1023,Alemania,61,M,Machu Picchu,Cusco,2025-04-19,7,3846.44,Bus
V1024,Alemania,50,M,Lago Titicaca,Puno,2025-02-01,9,3391.81,Bus
V1025,España,39,M,Huacachina,Ica,2025-07-26,11,1900.47,
V1026,España,64,M,Lago Titicaca,Puno,2025-07-31,9,2304.25,Auto particular
V1027,México,52,M,Líneas de Nazca,Ica,2025-05-26,12,4760.07,Avión
V1028,Brasil,22,M,Islas Ballestas,Ica,2025-08-21,10,3758.91,Auto particular
V1029,EE.UU.,39,M,Machu Picchu,Cusco,2025-02-23,6,3437.83,NA
V1030,Francia,46,M,Chan Chan,La Libertad,2025-06-06,13,4294.76,NA
V1031,Francia,46,F,Lago Titicaca,Puno,2025-09-24,12,2750.66,
V1032,Argentina,49,M,Kuelap,Amazonas,2025-03-09,11,3102.4,NA
V1033,Chile,27,F,Líneas de Nazca,Ica,2025-09-04,13,722.34,Auto particular
V1034,Francia,54,F,Cataratas de Gocta,Amazonas,2025-01-09,5,2463.13,Auto particular
V1035,Colombia,42,F,Chan Chan,La Libertad,2025-10-26,3,1678.39,Avión
V1036,Alemania,20,M,Chan Chan,La Libertad,2025-07-24,14,257.64,Auto particular
V1037,España,26,F,Machu Picchu,Cusco,2025-01-12,5,299.23,Bus
V1038,Alemania,68,F,Líneas de Nazca,Ica,2025-01-21,2,777.81,
V1039,Perú,32,F,Colca,Arequipa,2025-12-17,1,963.24,
